Dataset,Model,Metric,Threshold,Proportion,Value
1,ds,accuracy,0.3,0.2,0.0
1,ds,accuracy,0.3,0.3,0.0
1,ds,accuracy,0.3,0.4,0.0
1,ds,accuracy,0.3,0.5,0.0
1,ds,accuracy,0.3,0.6,0.0
1,ds,accuracy,0.3,0.7,0.0
1,ds,accuracy,0.3,0.8,0.0
1,ds,accuracy,0.3,0.9,0.0
1,ds,accuracy,0.3,1.0,0.0
1,ds,accuracy,0.4,0.2,0.0
1,ds,accuracy,0.4,0.3,0.0
1,ds,accuracy,0.4,0.4,0.0
1,ds,accuracy,0.4,0.5,0.01
1,ds,accuracy,0.4,0.6,0.01
1,ds,accuracy,0.4,0.7,0.01
1,ds,accuracy,0.4,0.8,0.01
1,ds,accuracy,0.4,0.9,0.01
1,ds,accuracy,0.4,1.0,0.01
1,tvae,precision,0.1,0.2,0.0
1,tvae,precision,0.1,0.3,0.0
1,tvae,precision,0.1,0.4,0.0
1,tvae,precision,0.1,0.5,0.0
1,tvae,precision,0.1,0.6,0.0
1,tvae,precision,0.1,0.7,0.0
1,tvae,precision,0.1,0.8,0.0
1,tvae,precision,0.1,0.9,0.0
1,tvae,precision,0.1,1.0,0.0
1,tvae,precision,0.2,0.2,0.0
1,tvae,precision,0.2,0.3,0.0
1,tvae,precision,0.2,0.4,0.0
1,tvae,precision,0.2,0.5,0.0
1,tvae,precision,0.2,0.6,0.0
1,tvae,precision,0.2,0.7,0.0
1,tvae,precision,0.2,0.8,0.0
1,tvae,precision,0.2,0.9,0.0
1,tvae,precision,0.2,1.0,0.0
1,tvae,precision,0.3,0.2,0.0
1,tvae,precision,0.3,0.3,0.0
1,tvae,precision,0.3,0.4,0.0
1,tvae,precision,0.3,0.5,0.0
1,tvae,precision,0.3,0.6,0.0
1,tvae,precision,0.3,0.7,0.0
1,tvae,precision,0.3,0.8,0.0
1,tvae,precision,0.3,0.9,0.0
1,tvae,precision,0.3,1.0,0.0
1,tvae,precision,0.4,0.2,0.0
1,tvae,precision,0.4,0.3,0.0
1,tvae,precision,0.4,0.4,1.0
1,tvae,precision,0.4,0.5,1.0
1,tvae,precision,0.4,0.6,1.0
1,tvae,precision,0.4,0.7,1.0
1,tvae,precision,0.4,0.8,1.0
1,tvae,precision,0.4,0.9,1.0
1,tvae,precision,0.4,1.0,1.0
1,tvae,accuracy,0.1,0.2,0.0
1,tvae,accuracy,0.1,0.3,0.0
1,tvae,accuracy,0.1,0.4,0.0
1,tvae,accuracy,0.1,0.5,0.0
1,tvae,accuracy,0.1,0.6,0.0
1,tvae,accuracy,0.1,0.7,0.0
1,tvae,accuracy,0.1,0.8,0.0
1,tvae,accuracy,0.1,0.9,0.0
1,tvae,accuracy,0.1,1.0,0.0
1,tvae,accuracy,0.2,0.2,0.0
1,tvae,accuracy,0.2,0.3,0.0
1,tvae,accuracy,0.2,0.4,0.0
1,tvae,accuracy,0.2,0.5,0.0
1,tvae,accuracy,0.2,0.6,0.0
1,tvae,accuracy,0.2,0.7,0.0
1,tvae,accuracy,0.2,0.8,0.0
1,tvae,accuracy,0.2,0.9,0.0
1,tvae,accuracy,0.2,1.0,0.0
1,tvae,accuracy,0.3,0.2,0.0
1,tvae,accuracy,0.3,0.3,0.0
1,tvae,accuracy,0.3,0.4,0.0
1,tvae,accuracy,0.3,0.5,0.0
1,tvae,accuracy,0.3,0.6,0.0
1,tvae,accuracy,0.3,0.7,0.0
1,tvae,accuracy,0.3,0.8,0.0
